# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = barebones_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = barebones.data.R
# init = 2 (Default)
# random
#   seed = 901527629
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,icpt,slope,sigma
# Adaptation terminated
# Step size = 0.229652
# Diagonal elements of inverse mass matrix:
# 0.360458, 0.0194784, 0.139412
2.54817,0.979365,0.229652,4,11,0,-0.579448,1.38209,0.382942
2.73713,1,0.229652,2,3,0,-0.51023,1.37546,0.372787
2.76506,0.973291,0.229652,2,3,0,-0.472077,1.40361,0.368247
2.83906,0.998766,0.229652,4,11,0,-0.403938,1.36352,0.372433
2.284,0.657217,0.229652,3,7,0,-0.251318,1.36768,0.461535
2.08897,0.982929,0.229652,2,3,0,-0.310603,1.3145,0.424125
1.53558,0.368481,0.229652,2,3,0,0.0623475,1.26991,0.400427
1.53558,0.559857,0.229652,2,3,0,0.0623475,1.26991,0.400427
0.96515,0.918572,0.229652,4,15,0,-0.676235,1.4635,0.711984
1.11973,0.974746,0.229652,4,15,0,-0.785511,1.42243,0.685133
1.67129,0.991186,0.229652,3,7,0,-0.640996,1.45961,0.574043
1.60399,0.982426,0.229652,1,1,0,-0.607635,1.45806,0.573183
-0.247781,0.96034,0.229652,3,7,0,-1.06462,1.52117,0.904412
-0.093391,0.930914,0.229652,4,11,0,-0.135126,1.40111,0.441432
2.55504,1,0.229652,3,5,0,-0.45678,1.3996,0.468611
2.25124,0.828884,0.229652,3,7,0,-0.811835,1.46469,0.472923
1.2209,0.841389,0.229652,4,15,0,0.183219,1.25157,0.509916
1.11383,0.998276,0.229652,2,3,0,0.196104,1.23729,0.499776
2.25643,0.823734,0.229652,3,5,0,-0.217356,1.3156,0.477142
-2.23657,0.365139,0.229652,2,3,0,-0.393057,1.24197,0.496162
1.71605,0.74118,0.229652,2,3,0,-0.149334,1.29603,0.334503
2.75258,0.984839,0.229652,3,7,0,-0.506663,1.40174,0.325754
2.75258,0.0115922,0.229652,1,1,0,-0.506663,1.40174,0.325754
2.58853,0.930312,0.229652,1,1,0,-0.506633,1.40879,0.318272
2.50308,0.838733,0.229652,3,7,0,-0.336002,1.36271,0.308298
2.12271,0.336642,0.229652,3,5,0,-0.536694,1.3609,0.365771
2.33268,1,0.229652,1,1,0,-0.504212,1.35777,0.390458
1.62135,0.961139,0.229652,4,9,0,-0.789766,1.48499,0.567793
2.13606,0.961674,0.229652,4,11,0,-0.472865,1.36049,0.305716
2.13606,0.0308315,0.229652,1,1,0,-0.472865,1.36049,0.305716
2.49622,0.940154,0.229652,3,7,0,-0.757601,1.43201,0.410635
2.1737,0.967498,0.229652,3,7,0,-0.171913,1.34696,0.475811
1.30407,0.742789,0.229652,3,7,0,-0.460733,1.31938,0.480555
2.35733,0.806387,0.229652,2,3,0,-0.59273,1.38514,0.478487
2.58463,0.986913,0.229652,3,7,0,-0.460141,1.36629,0.457054
2.57223,0.992682,0.229652,4,15,0,-0.567001,1.42336,0.329461
2.51642,0.983396,0.229652,3,7,0,-0.214085,1.34547,0.393153
1.75409,0.166124,0.229652,2,3,0,-0.0290927,1.32466,0.464351
0.77766,0.885307,0.229652,2,3,0,-0.348315,1.28858,0.443507
2.40071,1,0.229652,3,5,0,-0.383403,1.34487,0.474861
2.04664,0.994634,0.229652,3,5,0,-0.253814,1.33134,0.549266
2.70677,0.994618,0.229652,4,11,0,-0.284033,1.3492,0.402603
2.66566,0.771349,0.229652,3,7,0,-0.563679,1.42426,0.417885
1.63594,0.971121,0.229652,3,7,0,-0.248369,1.36748,0.603756
1.7563,0.819316,0.229652,3,7,0,-0.26051,1.30241,0.52909
1.93108,0.859422,0.229652,3,7,0,-0.524708,1.35846,0.337596
1.83933,1,0.229652,4,11,0,-0.286761,1.34191,0.594308
-0.170604,0.66731,0.229652,3,7,0,-0.0213828,1.25469,0.88525
0.378266,0.993742,0.229652,3,7,0,-0.0208126,1.34109,0.764962
1.89638,0.863378,0.229652,4,15,0,-0.157468,1.30031,0.533573
2.62395,0.996418,0.229652,3,7,0,-0.357629,1.35855,0.458681
1.77825,0.723604,0.229652,2,3,0,-0.252076,1.38885,0.425334
2.27982,0.923561,0.229652,2,3,0,-0.373796,1.33268,0.377458
2.16282,0.603924,0.229652,3,7,0,-0.173839,1.32329,0.510051
1.75041,0.93871,0.229652,2,3,0,-0.0783761,1.33637,0.514022
0.978066,0.952174,0.229652,2,3,0,-0.164153,1.26025,0.46864
1.77539,1,0.229652,1,1,0,-0.13887,1.28094,0.468336
-2.34346,0.571614,0.229652,4,15,0,0.719801,1.26497,0.906553
-1.55152,0.958532,0.229652,3,7,0,0.486293,1.13764,1.06261
-0.802173,0.884201,0.229652,4,15,0,-0.106352,1.20626,0.823496
-0.673612,0.905761,0.229652,3,5,0,0.209677,1.33874,0.780796
-3.46742,0.808037,0.229652,3,7,0,0.233858,1.40909,0.677312
0.994208,1,0.229652,2,3,0,-0.223371,1.37547,0.693654
-0.282701,0.843896,0.229652,4,11,0,-0.321345,1.25974,0.4876
1.75544,1,0.229652,2,3,0,-0.0171716,1.32006,0.438612
1.23425,0.994296,0.229652,4,15,0,-0.285422,1.30081,0.627866
-0.793905,0.716043,0.229652,2,3,0,-0.454914,1.27916,0.469872
0.0137676,1,0.229652,1,1,0,-0.520534,1.30881,0.442007
0.878118,1,0.229652,1,1,0,-0.532802,1.32585,0.448955
0.878118,0.758325,0.229652,1,1,0,-0.532802,1.32585,0.448955
1.10732,0.912529,0.229652,4,11,0,-0.584477,1.45701,0.664999
0.212632,0.918923,0.229652,2,3,0,-0.394176,1.46114,0.653744
0.142477,1,0.229652,1,1,0,-0.432715,1.47032,0.670068
-3.64168,0.741397,0.229652,4,9,0,-0.0854229,1.52077,1.05915
-2.9943,1,0.229652,2,3,0,-0.17622,1.51514,1.03658
-2.13763,1,0.229652,2,3,0,-0.257454,1.48438,1.10386
-2.93871,0.946656,0.229652,2,3,0,-0.120832,1.50096,1.02924
-4.57184,0.874456,0.229652,3,7,0,-1.89324,1.4783,0.960152
-2.21351,1,0.229652,2,3,0,-1.85613,1.58073,0.970622
-1.87968,0.984991,0.229652,4,15,0,-1.13031,1.47108,1.23512
-1.2149,0.938027,0.229652,4,15,0,0.135385,1.37776,0.843104
-1.565,0.949879,0.229652,3,7,0,-0.78981,1.31327,0.686217
2.42081,0.788589,0.229652,3,7,0,-0.550289,1.4241,0.481092
0.00976067,0.690624,0.229652,4,11,0,-0.440339,1.45076,0.348539
1.60748,0.999017,0.229652,4,15,0,-0.217271,1.28592,0.489248
